City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ingeniero jacobacci,-41.3427,-69.5448,5.45,72,100,1.55,AR,1717516562
1,songyang,34.4553,113.0281,20.09,63,100,1.35,CN,1717516563
2,bilibino,68.0546,166.4372,7.49,68,85,0.93,RU,1717516563
3,cooper's town,26.8667,-77.5167,25.87,81,25,5.67,BS,1717516563
4,sidney,-33.8679,151.2073,12.62,74,93,3.09,AU,1717516395
5,edinburgh of the seven seas,-37.0676,-12.3116,14.13,73,100,6.9,SH,1717516563
6,avarua,-21.2078,-159.775,22.03,73,40,2.06,CK,1717516563
7,iqaluit,63.7506,-68.5145,1.85,93,100,4.63,CA,1717516564
8,ayancik,41.9447,34.5861,20.93,69,88,5.52,TR,1717516564
9,port-aux-francais,-49.35,70.2167,1.56,68,100,15.73,TF,1717516564
10,hermanus,-34.4187,19.2345,16.0,99,100,3.19,ZA,1717516564
11,hithadhoo,-0.6,73.0833,29.17,69,23,2.43,MV,1717516565
12,howard springs,-12.497,131.047,25.95,93,91,2.21,AU,1717516565
13,blackmans bay,-43.0167,147.3167,9.29,93,84,0.45,AU,1717516565
14,tazovsky,67.4667,78.7,-1.05,93,100,3.6,RU,1717516565
15,albany,42.6001,-73.9662,29.4,52,77,0.45,US,1717516565
16,puerto ayora,-0.7393,-90.3518,24.98,91,93,1.34,EC,1717516565
17,taulaga,-11.0553,-171.0883,27.98,74,100,1.22,AS,1717516566
18,la ronge,55.1001,-105.2842,12.14,76,100,6.69,CA,1717516566
19,stanley,54.868,-1.6985,12.93,73,40,6.69,GB,1717516566
20,shimonoseki,33.95,130.95,18.02,77,40,3.09,JP,1717516566
21,adamstown,-25.066,-130.1015,21.55,76,61,3.1,PN,1717516566
22,bethel,41.3712,-73.414,29.37,66,0,3.09,US,1717516465
23,port augusta,-32.5,137.7667,8.8,79,66,2.37,AU,1717516567
24,hilo,19.7297,-155.09,22.57,95,100,2.06,US,1717516567
25,puerto natales,-51.7236,-72.4875,-0.75,86,75,1.54,CL,1717516567
26,yellowknife,62.456,-114.3525,8.56,82,75,7.2,CA,1717516567
27,margaret river,-33.95,115.0667,16.25,80,91,2.25,AU,1717516567
28,al burayqah,30.4062,19.5739,34.04,31,13,5.08,LY,1717516568
29,isafjordur,66.0755,-23.124,5.02,65,100,8.23,IS,1717516568
30,kerikeri,-35.2268,173.9474,15.51,91,100,5.81,NZ,1717516568
31,quellon,-43.1167,-73.6167,11.27,92,100,3.15,CL,1717516568
32,ribeira grande,38.5167,-28.7,19.32,88,40,4.12,PT,1717516568
33,olonkinbyen,70.9221,-8.7187,0.44,95,97,9.62,SJ,1717516568
34,port moresby,-9.4431,147.1797,25.68,89,40,1.54,PG,1717516569
35,saint-leu,-21.15,55.2833,20.48,80,37,2.13,RE,1717516569
36,qobu,40.4047,49.7131,25.62,44,8,3.98,AZ,1717516569
37,ilulissat,69.2167,-51.1,3.01,60,75,2.57,GL,1717516569
38,invercargill,-46.4,168.35,5.14,89,100,1.56,NZ,1717516569
39,sao miguel do araguaia,-13.275,-50.1628,32.21,28,100,3.06,BR,1717516569
40,antofagasta,-23.65,-70.4,17.6,71,67,3.21,CL,1717516475
41,waitangi,-43.9535,-176.5597,9.34,82,69,0.45,NZ,1717516570
42,walvis bay,-22.9575,14.5053,19.53,48,0,5.14,NA,1717516570
43,bredasdorp,-34.5322,20.0403,16.52,94,100,8.47,ZA,1717516570
44,grytviken,-54.2811,-36.5092,-1.37,91,93,9.07,GS,1717516570
45,razole,16.4833,81.8333,29.65,78,88,1.62,IN,1717516571
46,ust-nera,64.5667,143.2,12.04,44,31,2.71,RU,1717516571
47,kamaishi,39.2667,141.8833,10.96,94,45,3.57,JP,1717516571
48,punta arenas,-53.15,-70.9167,2.06,93,75,3.09,CL,1717516322
49,carutapera,-1.195,-46.02,29.76,69,8,3.62,BR,1717516572
50,betio village,1.358,172.9211,28.02,77,39,2.24,KI,1717516572
51,nuuk,64.1835,-51.7216,5.34,93,75,1.54,GL,1717516560
52,lebu,-37.6167,-73.65,14.7,53,100,6.39,CL,1717516573
53,hamilton,39.1834,-84.5333,29.87,63,0,3.6,US,1717516573
54,deridder,30.8463,-93.289,29.98,74,40,6.17,US,1717516573
55,port elizabeth,-33.918,25.5701,15.73,99,75,2.68,ZA,1717516573
56,vernon,50.2581,-119.2691,14.34,63,92,2.06,CA,1717516573
57,la passe,45.5549,-0.8967,26.13,71,72,4.68,FR,1717516574
58,longyearbyen,78.2186,15.6401,4.91,65,75,11.83,SJ,1717516289
59,tokar,18.4254,37.729,33.7,41,2,2.49,SD,1717516574
60,al qadarif,14.0349,35.3834,37.28,24,75,5.06,SD,1717516574
61,camocim,-2.9022,-40.8411,30.82,62,11,4.73,BR,1717516574
62,kristiansund,63.1115,7.732,16.36,65,75,4.63,NO,1717516575
63,pelabuhanratu,-6.9875,106.5514,26.48,90,85,1.79,ID,1717516575
64,hotan,37.0997,79.9269,26.4,14,90,6.86,CN,1717516575
65,rio grande,-32.035,-52.0986,15.06,74,81,4.03,BR,1717516501
66,hawaiian paradise park,19.5933,-154.9731,22.24,96,100,2.06,US,1717516575
67,suphan buri,14.4742,100.1222,27.63,74,100,2.25,TH,1717516575
68,lycksele,64.5954,18.6735,17.93,32,20,4.63,SE,1717516576
69,sinabang,2.4803,96.3801,26.69,86,100,1.35,ID,1717516576
70,mana,5.6592,-53.7767,29.05,73,20,4.79,GF,1717516576
71,ushuaia,-54.8,-68.3,1.81,93,40,1.54,AR,1717516305
72,daru,-9.0763,143.2092,25.77,88,100,4.15,PG,1717516577
73,tiksi,71.6872,128.8694,6.29,78,100,1.35,RU,1717516577
74,vadso,70.0744,29.7487,9.49,100,100,4.63,NO,1717516577
75,geraldton,-28.7667,114.6,14.23,88,0,2.57,AU,1717516510
76,kiunga,-6.1219,141.2906,23.13,100,100,0.58,PG,1717516578
77,laguna,38.421,-121.4238,27.3,57,0,4.63,US,1717516523
78,al kharj,24.155,47.3346,43.32,7,0,4.7,SA,1717516552
79,langsa,4.4683,97.9683,24.1,99,98,1.31,ID,1717516578
80,qaqortoq,60.7167,-46.0333,1.03,89,100,2.53,GL,1717516578
81,tralee,52.2704,-9.7026,14.14,58,75,6.69,IE,1717516578
82,garachico,28.7781,-17.7646,21.06,73,75,3.6,ES,1717516579
83,akureyri,65.6835,-18.0878,1.96,93,100,11.32,IS,1717516579
84,constantia,44.1833,28.65,24.38,79,68,2.28,RO,1717516579
